model,alpha,validation_rmse,validation_mae
pooled_ridge,0.01,1.3489484232506603,1.0160863028911296
pooled_ridge,0.10000000000000001,1.3489483701786122,1.016086730553875
pooled_ridge,1,1.3489478625378413,1.016091006987071
pooled_ridge,10,1.3489450389432878,1.0161339710333905
pooled_ridge,100,1.3491017738793878,1.0166840875519894
pooled_ridge,1000,1.3592592830814711,1.0292768680940625
pooled_ridge,10000,1.5681492590353443,1.2182000280058696
per_drug_ridge,0.01,1.2383998581371396,0.93689621238544218
per_drug_ridge,0.10000000000000001,1.2383456388521872,0.93685947157464178
per_drug_ridge,1,1.2379374922688577,0.93654421975589197
per_drug_ridge,10,1.2367083617387331,0.93515142111115857
per_drug_ridge,100,1.2420513857871829,0.93664663387661251
per_drug_ridge,1000,1.3657840415205849,1.0338958782594523
per_drug_ridge,10000,1.5014711803934762,1.1436256187162335
