source,subset,model,n_rows,n_drugs,rmse,mae,equal_drug_mean_rmse,median_within_drug_spearman,spearman_eligible_drugs,spearman_defined_drugs
primary,common_non_uprosertib,per_drug_mean,13622,135,1.5426543734187945,1.1784933836652793,1.4729110739042284,,124,0
primary,common_non_uprosertib,pooled_ridge,13622,135,1.3538530977160039,1.0186106308834348,1.3062807164572061,0.53498309066240068,124,124
primary,common_non_uprosertib,per_drug_ridge,13622,135,1.2628288513661063,0.95362117307043326,1.2344726228996841,0.56257770239567528,124,124
primary,common_non_uprosertib,mlp_seed_17,13622,135,1.329431893941283,0.99651231599091505,1.3063264362386244,0.53765695833708338,124,124
primary,common_non_uprosertib,mlp_seed_29,13622,135,1.3375177050815494,1.0087561417603399,1.3198503902029117,0.53550960895891131,124,124
primary,common_non_uprosertib,mlp_seed_43,13622,135,1.3371583827657809,1.0116528429357441,1.3236839318625966,0.52167098421951164,124,124
sensitivity,common_non_uprosertib,per_drug_mean,13622,135,1.5426543734187947,1.1784933836652793,1.4729110739042286,,124,0
sensitivity,common_non_uprosertib,pooled_ridge,13622,135,1.3542086163054456,1.0188961311737763,1.3066315178991346,0.53481413500499864,124,124
sensitivity,common_non_uprosertib,per_drug_ridge,13622,135,1.2628288513661063,0.95362117307043326,1.2344726228996838,0.56257770239567528,124,124
sensitivity,common_non_uprosertib,mlp_seed_17,13622,135,1.3445468160089831,1.0075261073754995,1.3134717467578032,0.53775908059103261,124,124
sensitivity,common_non_uprosertib,mlp_seed_29,13622,135,1.3306180844530535,1.0005637642100291,1.3204694356245998,0.52022689899208796,124,124
sensitivity,common_non_uprosertib,mlp_seed_43,13622,135,1.3516466722824894,1.018282146829157,1.3382560080493666,0.53074986908525934,124,124
sensitivity,uprosertib,per_drug_mean,119,1,1.5456472381966371,1.2005755401785712,1.5456472381966371,,1,0
sensitivity,uprosertib,pooled_ridge,119,1,1.3810520223896907,1.0980278704289221,1.3810520223896907,0.45932915539097002,1,1
sensitivity,uprosertib,per_drug_ridge,119,1,1.3895175726927229,1.1164447928022854,1.3895175726927229,0.49054265774106259,1,1
sensitivity,uprosertib,mlp_seed_17,119,1,1.373797720961109,1.1229202926899886,1.373797720961109,0.46906423586383705,1,1
sensitivity,uprosertib,mlp_seed_29,119,1,1.3835938453400582,1.105388993651863,1.3835938453400582,0.47582965389545656,1,1
sensitivity,uprosertib,mlp_seed_43,119,1,1.3764350215940275,1.0984389955574485,1.3764350215940275,0.49159663865546227,1,1
