model,n_rows,n_cell_lines,n_drugs,rmse,mae,equal_drug_mean_rmse,median_within_drug_spearman,spearman_n_eligible_drugs,spearman_defined_drugs,rmse_sample_sd,mae_sample_sd,equal_drug_mean_rmse_sample_sd,median_within_drug_spearman_sample_sd,rmse_ci_low,rmse_ci_high,mae_ci_low,mae_ci_high,paired_rmse_delta_vs_per_drug_ridge_ci_low,paired_rmse_delta_vs_per_drug_ridge_ci_high,split_seed
per_drug_mean,13476,120,136,1.5855794394726812,1.2132723547429485,1.4989718110525576,,136,0,,,,,1.4989545902998227,1.6766353228220388,1.1408531404469888,1.2904423528369575,0.27292553376504192,0.39596231314275532,19
pooled_ridge,13476,120,136,1.345771785936321,1.0049667412583756,1.2826536183532331,0.60331823149242447,136,136,,,,,1.2940410120915564,1.3971450858322063,0.9643096826755736,1.0467478806115122,0.075685246783905702,0.11412182623899,19
per_drug_ridge,13476,120,136,1.2510188934130582,0.94154439687041835,1.1991292325955536,0.6259325658193875,136,136,,,,,1.1963704299529514,1.3033997409312039,0.89872529430911952,0.98393928479049364,0,0,19
mlp_seed_17,13476,120,136,1.3522367626964544,1.0213573282267163,1.3147104201753821,0.5781470338585819,136,136,,,,,1.2859317441159579,1.4185933786482097,0.96914773197967941,1.0766053171151679,0.061155760705300502,0.13987446215704741,19
mlp_seed_29,13476,120,136,1.3346904634206314,1.0116840905433957,1.2944500394978615,0.57505606126029685,136,136,,,,,1.270478142272834,1.398010955610639,0.95863731637185023,1.0678042772173275,0.046615639766500801,0.11918897901440489,19
mlp_seed_43,13476,120,136,1.3561334098879461,1.0254819396866639,1.3158458666854176,0.59401559198352483,136,136,,,,,1.2861644418568812,1.425732152126683,0.9687442221531084,1.0849608949181844,0.061463946695451098,0.14895340784033589,19
mlp_three_seed_mean,13476,120,136,1.347686878668344,1.0195077861522586,1.3083354421195537,0.58240622903413453,136,136,0.0114226123020074,0.0070824264668961001,0.0120385054790516,0.0101720946205215,1.2828598309991337,1.413670665657528,0.96725431910321236,1.075948355753916,0.058903043735309302,0.13299240560211209,19
per_drug_mean,13909,120,136,1.449622969431722,1.1155112930022095,1.3577059451649172,,131,0,,,,,1.379746035228653,1.5232478187735916,1.056955843835899,1.1764630872427948,0.18994452260991021,0.31185519043573162,23
pooled_ridge,13909,120,136,1.2988541417169108,0.99015951571986438,1.2433919354542713,0.51616778942982144,131,131,,,,,1.2492031228308522,1.3534587219490797,0.94923518557065045,1.0332679355289134,0.082337116308176805,0.12171991369105439,23
per_drug_ridge,13909,120,136,1.1974521055342533,0.90560846759497637,1.1319204527785105,0.56543266828124394,131,131,,,,,1.1456106474855561,1.2530553282536805,0.86317863232000125,0.95143365267414803,0,0,23
mlp_seed_17,13909,120,136,1.2779088281869408,0.97712709637084638,1.2342643405775011,0.54607958886033736,131,131,,,,,1.219029454366928,1.3403942608716639,0.92762139136390565,1.0314292336595423,0.048451245411949499,0.1129239911976672,23
mlp_seed_29,13909,120,136,1.270797851737703,0.96515909540585498,1.2238437753341562,0.53305117352828013,131,131,,,,,1.2143963886663451,1.332672316137447,0.91713201058835636,1.0164134297601062,0.046525455233922798,0.099286922293135793,23
mlp_seed_43,13909,120,136,1.3072091022379413,0.99495554533275044,1.2574682506558477,0.52887142828213285,131,131,,,,,1.2447864506004531,1.3732545439974289,0.94400370316198157,1.0524223812949207,0.076205102394534097,0.1431947390220184,23
mlp_three_seed_mean,13909,120,136,1.2853052607208617,0.97908057903648404,1.2385254555225016,0.53600073022358352,131,131,0.019299616613274999,0.0149939713870343,0.017212471077554099,0.0089752499210564995,1.2255996411506025,1.3476487806767836,0.93090317788257737,1.0330719537917463,0.058423880428472803,0.1173193964019921,23
per_drug_mean,13581,120,136,1.4911251000340275,1.1216399118899747,1.4090368753993081,,136,0,,,,,1.3926420895933838,1.59057312185459,1.0476927860002587,1.2005409594610736,0.15417060887603379,0.32905597334690828,29
