split_seed,model,rmse_delta_vs_per_drug_ridge,paired_rmse_delta_vs_per_drug_ridge_ci_low,paired_rmse_delta_vs_per_drug_ridge_ci_high
19,per_drug_mean,0.33456054605962304,0.27292553376504192,0.39596231314275532
19,pooled_ridge,0.094752892523262799,0.075685246783905702,0.11412182623899
19,per_drug_ridge,0,0,0
19,mlp_seed_17,0.10121786928339627,0.061155760705300502,0.13987446215704741
19,mlp_seed_29,0.083671570007573193,0.046615639766500801,0.11918897901440489
19,mlp_seed_43,0.1051145164748879,0.061463946695451098,0.14895340784033589
19,mlp_three_seed_mean,0.09666798525528586,0.058903043735309302,0.13299240560211209
23,per_drug_mean,0.25217086389746868,0.18994452260991021,0.31185519043573162
23,pooled_ridge,0.10140203618265753,0.082337116308176805,0.12171991369105439
23,per_drug_ridge,0,0,0
23,mlp_seed_17,0.080456722652687551,0.048451245411949499,0.1129239911976672
23,mlp_seed_29,0.073345746203449691,0.046525455233922798,0.099286922293135793
23,mlp_seed_43,0.10975699670368799,0.076205102394534097,0.1431947390220184
23,mlp_three_seed_mean,0.087853155186608411,0.058423880428472803,0.1173193964019921
29,per_drug_mean,0.24092957486742095,0.15417060887603379,0.32905597334690828
29,pooled_ridge,0.097812934457323086,0.073859219541058799,0.1228175996981422
29,per_drug_ridge,0,0,0
29,mlp_seed_17,0.065140057089599912,0.0142345110265619,0.1195217036423353
29,mlp_seed_29,0.067842813605386798,0.022886463252134899,0.11244802583666889
29,mlp_seed_43,0.033947908190219422,0.0035880444781010998,0.066381815087957999
29,mlp_three_seed_mean,0.055643592961734933,0.015937474108404799,0.096675272551976096
31,per_drug_mean,0.28609332755856598,0.21938770320014009,0.35568760496716562
31,pooled_ridge,0.11547617811231214,0.095587777356687803,0.1367988019726919
31,per_drug_ridge,0,0,0
31,mlp_seed_17,0.086694502402304252,0.055703151545378103,0.11681567655150379
31,mlp_seed_29,0.065342384890861638,0.037443765793488799,0.093157626460062495
31,mlp_seed_43,0.064216675691241232,0.028851970941407599,0.096948722797615905
31,mlp_three_seed_mean,0.072084520994802448,0.042324122969195202,0.10063548016770001
37,per_drug_mean,0.29644046445141958,0.2279334101879856,0.3624384300632868
37,pooled_ridge,0.096916856439119403,0.076585695510131904,0.1182453303493282
37,per_drug_ridge,0,0,0
37,mlp_seed_17,0.088663916738248361,0.049728149139355401,0.1249385616114965
37,mlp_seed_29,0.071595319802965518,0.0339084772429082,0.1074541877764891
37,mlp_seed_43,0.088244883514781991,0.046047635150516103,0.12886122542267889
37,mlp_three_seed_mean,0.082834706685332105,0.045330704965028099,0.11895161617683191
