split_seed,pca_components,retained_training_variance_fraction,fitted_unique_training_cells,zero_variance_removed,source,runtime_seconds,fallback_drugs
19,128,0.65168844414661042,564,0,saved_fresh_run_baseline,,
19,64,0.52999280827729645,564,0,new_train_only_fit,3.5258458000025712,
19,256,0.80004946278828726,564,0,new_train_only_fit,8.8706915999937337,
23,128,0.65459226800262382,564,0,saved_fresh_run_baseline,,
23,64,0.53336625602987697,564,0,new_train_only_fit,3.3962559000065085,
23,256,0.80194460426447023,564,0,new_train_only_fit,8.8721800000057556,
29,128,0.65284337469723563,564,0,saved_fresh_run_baseline,,
29,64,0.52958761383751041,564,0,new_train_only_fit,3.6186677000077907,
29,256,0.80101283392039446,564,0,new_train_only_fit,8.7715235000068787,
31,128,0.65172023350818375,564,0,saved_fresh_run_baseline,,
31,64,0.52872230744146409,564,0,new_train_only_fit,3.3638443000090774,
31,256,0.8004394852962573,564,0,new_train_only_fit,8.6270958000095561,
37,128,0.65220239828831827,564,0,saved_fresh_run_baseline,,
37,64,0.52947121168033995,564,0,new_train_only_fit,3.5864037999999709,
37,256,0.80130120968541951,564,0,new_train_only_fit,8.7304404999886174,
