split_seed,model,pca_components,rmse_difference_minus_pca128
19,pooled_ridge,64,0.0030679413672576317
19,pooled_ridge,256,-0.010456131676102265
19,per_drug_ridge,64,0.0053811586860501581
19,per_drug_ridge,256,-0.0094108768869793913
23,pooled_ridge,64,-0.0018043091589765581
23,pooled_ridge,256,-0.0038105381847757247
23,per_drug_ridge,64,0.0058765580928128447
23,per_drug_ridge,256,-0.0031700270604722025
29,pooled_ridge,64,0.012203563339910906
29,pooled_ridge,256,-0.010195327209570282
29,per_drug_ridge,64,0.017725766399358633
29,per_drug_ridge,256,-0.016743647627985636
31,pooled_ridge,64,0.010328480284603758
31,pooled_ridge,256,-0.00046499148478473806
31,per_drug_ridge,64,0.012249956135452544
31,per_drug_ridge,256,0.00017055420608080851
37,pooled_ridge,64,-0.005809416749167795
37,pooled_ridge,256,-0.013995519346812868
37,per_drug_ridge,64,-0.0037984335642264888
37,per_drug_ridge,256,-0.01754675895030533
